               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.025782,            0.014383,           0.0067285,             0.82888,             0.66502,               0.694,             0.44971,            0.029443,            0.012529,            0.008373,           0.0077824,           0.0077824,           0.0077824
                 114,            0.026874,            0.014134,           0.0070956,             0.77153,             0.59701,             0.65418,             0.42782,            0.030839,            0.012812,           0.0090076,           0.0077626,           0.0077626,           0.0077626
                 115,            0.026369,            0.013732,           0.0064419,             0.70662,             0.62391,             0.64497,             0.39698,            0.031241,              0.0134,            0.008891,           0.0077428,           0.0077428,           0.0077428
                 116,            0.026152,            0.014191,           0.0065762,             0.89214,             0.62504,             0.69293,             0.44228,            0.030587,            0.013125,           0.0078235,            0.007723,            0.007723,            0.007723
                 117,            0.026087,            0.013673,           0.0066748,             0.87743,             0.60585,             0.68152,             0.42957,            0.030576,            0.013584,           0.0087684,           0.0077032,           0.0077032,           0.0077032
                 118,            0.025322,            0.014304,            0.006316,             0.75323,             0.63797,             0.68404,              0.4522,            0.030139,             0.01329,           0.0096564,           0.0076834,           0.0076834,           0.0076834
                 119,            0.026249,            0.014101,           0.0065057,             0.79774,             0.62374,             0.65442,              0.4181,            0.030996,            0.013285,           0.0099698,           0.0076636,           0.0076636,           0.0076636
                 120,            0.026278,            0.014013,           0.0062775,             0.81995,             0.59435,             0.66772,             0.44387,            0.030274,             0.01287,           0.0090001,           0.0076438,           0.0076438,           0.0076438
                 121,            0.026481,            0.013807,           0.0066124,             0.79534,             0.66467,             0.69675,             0.46563,            0.029865,            0.012514,           0.0077563,            0.007624,            0.007624,            0.007624
                 122,            0.025171,            0.013464,           0.0065804,             0.80474,             0.57832,             0.64437,             0.42711,            0.030071,            0.012838,           0.0092035,           0.0076042,           0.0076042,           0.0076042
                 123,            0.024918,            0.013298,           0.0067196,              0.7113,             0.61943,             0.61836,             0.39408,            0.028637,            0.013067,           0.0090466,           0.0075844,           0.0075844,           0.0075844
                 124,            0.026317,             0.01376,           0.0061219,             0.71141,             0.54492,             0.62693,             0.39997,            0.030388,             0.01332,            0.011514,           0.0075646,           0.0075646,           0.0075646
                 125,            0.025342,            0.013656,           0.0065399,             0.74237,             0.63301,             0.64142,             0.41416,            0.029385,            0.012901,           0.0096245,           0.0075448,           0.0075448,           0.0075448
                 126,            0.025366,            0.013735,           0.0053414,             0.83097,             0.64196,             0.65166,             0.42091,            0.029899,            0.012968,           0.0081238,            0.007525,            0.007525,            0.007525
                 127,            0.026532,            0.013954,           0.0057996,             0.79819,             0.60264,             0.68608,               0.465,            0.029162,              0.0128,           0.0080522,           0.0075052,           0.0075052,           0.0075052
                 128,            0.025638,            0.013938,           0.0062842,             0.79817,             0.60942,             0.67535,             0.44061,            0.030716,            0.013497,           0.0085066,           0.0074854,           0.0074854,           0.0074854
                 129,            0.024863,            0.014027,           0.0065187,             0.69686,             0.60868,             0.64524,             0.44145,            0.029519,             0.01309,           0.0092371,           0.0074656,           0.0074656,           0.0074656
                 130,            0.025526,            0.013674,           0.0061265,              0.7369,             0.60391,             0.66221,              0.4188,            0.029859,            0.013648,            0.010098,           0.0074458,           0.0074458,           0.0074458
                 131,            0.025999,            0.013139,           0.0057937,             0.78683,             0.63527,             0.68056,             0.40925,            0.030547,            0.012541,           0.0085933,            0.007426,            0.007426,            0.007426
                 132,             0.02475,            0.013212,           0.0057999,              0.7592,             0.66286,              0.6696,             0.45804,            0.029087,            0.012643,           0.0080885,           0.0074062,           0.0074062,           0.0074062
                 133,            0.025148,            0.013787,           0.0067214,             0.82894,             0.62692,             0.70245,             0.44458,             0.02969,            0.012883,           0.0082829,           0.0073864,           0.0073864,           0.0073864
                 134,            0.024868,            0.013338,           0.0065642,             0.73228,             0.64142,             0.64046,             0.39437,            0.030881,            0.013356,           0.0089325,           0.0073666,           0.0073666,           0.0073666
                 135,            0.025069,            0.013482,           0.0055673,             0.79689,             0.61424,             0.65048,             0.42034,            0.029502,            0.013311,           0.0097541,           0.0073468,           0.0073468,           0.0073468
                 136,            0.025795,            0.013889,           0.0067416,             0.80895,             0.59948,               0.676,             0.43165,            0.029213,            0.013001,           0.0082105,            0.007327,            0.007327,            0.007327
                 137,            0.025079,            0.013574,           0.0063419,             0.88467,             0.59707,             0.67955,             0.43007,            0.029485,            0.013537,           0.0087782,           0.0073072,           0.0073072,           0.0073072
                 138,            0.025243,            0.013612,           0.0058153,             0.76153,             0.65245,             0.67348,             0.43021,            0.030354,            0.013429,           0.0085568,           0.0072874,           0.0072874,           0.0072874
                 139,            0.025354,            0.012942,           0.0060766,             0.81693,             0.64032,             0.68201,             0.44664,            0.029713,            0.012825,           0.0087673,           0.0072676,           0.0072676,           0.0072676
                 140,            0.025149,            0.013311,           0.0053975,             0.76549,             0.65638,             0.67926,             0.43746,            0.030435,             0.01297,           0.0096007,           0.0072478,           0.0072478,           0.0072478
                 141,            0.024152,             0.01313,           0.0062642,              0.8052,             0.62667,             0.67065,             0.44058,            0.030408,             0.01354,           0.0084507,            0.007228,            0.007228,            0.007228
                 142,            0.024081,            0.013902,           0.0069211,             0.83306,             0.61987,             0.66778,             0.44421,            0.029189,            0.013328,           0.0082638,           0.0072082,           0.0072082,           0.0072082
                 143,            0.025128,            0.013437,           0.0060346,             0.79431,             0.63299,             0.64423,             0.40889,            0.029755,            0.013521,           0.0085469,           0.0071884,           0.0071884,           0.0071884
                 144,            0.024069,             0.01266,            0.005949,             0.80717,             0.57766,             0.65561,             0.41396,            0.029656,            0.013329,           0.0083558,           0.0071686,           0.0071686,           0.0071686
                 145,            0.024756,            0.012926,            0.005824,             0.80459,             0.62257,             0.66231,             0.43508,            0.029535,            0.013637,           0.0085292,           0.0071488,           0.0071488,           0.0071488
                 146,            0.025062,            0.013088,           0.0056832,             0.83638,             0.60632,             0.67253,             0.47047,            0.029163,            0.012932,            0.009299,            0.007129,            0.007129,            0.007129
                 147,            0.024087,            0.013543,           0.0055602,             0.70241,             0.65097,              0.6504,             0.43888,            0.029033,            0.012624,           0.0099496,           0.0071092,           0.0071092,           0.0071092
                 148,            0.024575,            0.013128,           0.0052171,             0.83203,             0.59544,             0.66476,             0.45142,            0.029418,             0.01296,            0.010812,           0.0070894,           0.0070894,           0.0070894
                 149,            0.024525,            0.012971,           0.0063727,             0.78774,             0.65086,              0.6975,             0.47133,            0.029105,            0.012757,           0.0080526,           0.0070696,           0.0070696,           0.0070696
                 150,            0.024543,            0.013221,           0.0057673,             0.79145,             0.66379,             0.69284,             0.45486,            0.030171,            0.012804,           0.0077549,           0.0070498,           0.0070498,           0.0070498
                 151,            0.024067,            0.013377,           0.0056299,             0.87876,             0.60122,             0.67706,             0.45802,            0.028925,            0.013101,           0.0081814,             0.00703,             0.00703,             0.00703
                 152,            0.023859,            0.013391,           0.0064596,             0.81996,             0.65191,             0.66424,             0.45393,            0.028416,            0.012825,           0.0081381,           0.0070102,           0.0070102,           0.0070102
